,Country,Data Type,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30
230,Norway,Cumulative Deaths (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,6,7,7,7,7,10,12,14,14,19,23,26,32
231,Norway,Cumulative Deaths (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,6,7,7,7,7,10,12,14,14,19,23,26,32
232,Norway,Daily New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,1,0,0,0,3,2,2,0,5,4,3,6
233,Norway,Daily New Case & Recoveries - New Recoveries,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,5
234,Norway,Daily New Case & Recoveries - New Cases,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null,null,null,3,2,9,4,6,8,26,35,33,29,20,51,173,229,171,196,113,147,92,123,120,199,169,205,221,240,241,218,288,399,244,269,161
235,Sweden,Current Active Cases (Linear),,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,7,11,13,14,15,29,51,93,136,160,202,259,354,498,685,812,958,1036,1113,1187,1276,1412,1607,1734,1897,2003,2243,2448,2747,2948,3326,3574,3866
236,Sweden,Closed Cases - Death Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""",0,0,0,0,0,0,0,0,50,50,50,66.6700000000000017053025658242404460906982421875,75,87.5,88.8900000000000005684341886080801486968994140625,40,40.74000000000000198951966012828052043914794921875,50,55.56000000000000227373675443232059478759765625,56.75999999999999801048033987171947956085205078125,62.78999999999999914734871708787977695465087890625,71.43000000000000682121026329696178436279296875,79.4899999999999948840923025272786617279052734375,82.7999999999999971578290569595992565155029296875,86.780000000000001136868377216160297393798828125,86.780000000000001136868377216160297393798828125,87.2999999999999971578290569595992565155029296875,90.1200000000000045474735088646411895751953125
237,Sweden,Closed Cases - Recovery Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""",100,100,100,100,100,100,100,100,50,50,50,33.3299999999999982946974341757595539093017578125,25,12.5,11.1099999999999994315658113919198513031005859375,60,59.25999999999999801048033987171947956085205078125,50,44.43999999999999772626324556767940521240234375,43.24000000000000198951966012828052043914794921875,37.21000000000000085265128291212022304534912109375,28.57000000000000028421709430404007434844970703125,20.510000000000001563194018672220408916473388671875,17.199999999999999289457264239899814128875732421875,13.2200000000000006394884621840901672840118408203125,13.2200000000000006394884621840901672840118408203125,12.699999999999999289457264239899814128875732421875,9.8800000000000007815970093361102044582366943359375
238,Sweden,Cumulative Confirmed (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,7,11,13,14,15,30,52,94,137,161,203,260,355,500,687,814,961,1040,1121,1196,1301,1439,1639,1770,1934,2046,2299,2526,2840,3069,3447,3700,4028
239,Sweden,Cumulative Confirmed (Linear),,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,7,11,13,14,15,30,52,94,137,161,203,260,355,500,687,814,961,1040,1121,1196,1301,1439,1639,1770,1934,2046,2299,2526,2840,3069,3447,3700,4028
240,Sweden,Daily New Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,null,0,0,0,0,0,0,0,0,0,0,1,5,4,2,1,1,15,22,42,43,24,42,57,95,145,187,127,147,79,81,75,105,138,200,131,164,112,253,227,314,229,378,253,328
241,Sweden,Daily Current Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,7,11,13,14,15,29,51,93,136,160,202,259,354,498,685,812,958,1036,1113,1187,1276,1412,1607,1734,1897,2003,2243,2448,2747,2948,3326,3574,3866
242,Sweden,Cumulative Deaths (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,7,8,10,11,16,20,21,27,40,62,77,105,105,110,146
243,Sweden,Cumulative Deaths (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,7,8,10,11,16,20,21,27,40,62,77,105,105,110,146
244,Sweden,Daily New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,2,1,5,4,1,6,13,22,15,28,0,5,36
245,Sweden,Daily New Case & Recoveries - New Recoveries,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
246,Sweden,Daily New Case & Recoveries - New Cases,,,,,,,,,,,,,,,,,,,,,,,,,null,0,0,0,0,0,0,0,0,0,0,1,5,4,2,1,1,15,22,42,43,24,42,57,95,145,187,127,147,79,81,75,105,138,200,131,164,112,253,227,314,229,378,253,328
247,Ireland,Current Active Cases (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,13,18,19,21,24,34,42,69,89,127,167,216,285,359,549,675,777,897,1114,1317,1550,1795,2094,2374,2564,2851
248,Ireland,Closed Cases - Death Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""",100,100,100,100,66.6700000000000017053025658242404460906982421875,28.57000000000000028421709430404007434844970703125,28.57000000000000028421709430404007434844970703125,28.57000000000000028421709430404007434844970703125,37.5,37.5,37.5,44.43999999999999772626324556767940521240234375,54.5499999999999971578290569595992565155029296875,58.3299999999999982946974341757595539093017578125,64.2900000000000062527760746888816356658935546875,79.1700000000000017053025658242404460906982421875,81.4800000000000039790393202565610408782958984375,87.7999999999999971578290569595992565155029296875,90.2000000000000028421709430404007434844970703125,91.530000000000001136868377216160297393798828125
